,url,type
106,https://www.sendo.vn/shop/hamy2016,shop_url
107,https://www.sendo.vn/shop/vsionglobal,shop_url
108,https://www.sendo.vn/shop/vnclean,shop_url
109,https://www.sendo.vn/shop/banghecafe,shop_url
110,https://www.sendo.vn/shop/arashi-shop-online,shop_url
111,https://www.sendo.vn/shop/thanh-cong-mart,shop_url
112,https://www.sendo.vn/shop/bbishop,shop_url
113,https://www.sendo.vn/shop/thu-le,shop_url
114,https://www.sendo.vn/shop/mo-chu-shop,shop_url
115,https://www.sendo.vn/shop/mystar,shop_url
116,https://www.sendo.vn/shop/shop-hyn,shop_url
117,https://www.sendo.vn/shop/susu-shop15,shop_url
118,https://www.sendo.vn/shop/dong-ho-hot-life,shop_url
119,https://www.sendo.vn/shop/bach-khoa-mobile,shop_url
120,https://www.sendo.vn/shop/tramruby,shop_url
121,https://www.sendo.vn/shop/shop-dien-tu-eh,shop_url
122,https://www.sendo.vn/shop/kinh-xinh-shop,shop_url
123,https://www.sendo.vn/shop/trangsuc365vn,shop_url
124,https://www.sendo.vn/shop/the-watch,shop_url
125,https://www.sendo.vn/shop/vnkhomeshopping,shop_url
126,https://www.sendo.vn/shop/gemi-shop,shop_url
127,https://www.sendo.vn/shop/luckystar30hn,shop_url
128,https://www.sendo.vn/shop/thoi-trang-tre-em-bao-minh,shop_url
129,https://www.sendo.vn/shop/cua-hang-do-choi-cong-nghe,shop_url
130,https://www.sendo.vn/shop/golden-scorpio,shop_url
131,https://www.sendo.vn/shop/phukiennp,shop_url
132,https://www.sendo.vn/shop/storeruby,shop_url
133,https://www.sendo.vn/shop/giay-hutpho,shop_url
134,https://www.sendo.vn/shop/xomdophuot,shop_url
135,https://www.sendo.vn/shop/mummy,shop_url
136,https://www.sendo.vn/shop/dimond,shop_url
137,https://www.sendo.vn/shop/y-te-hai-nam,shop_url
138,https://www.sendo.vn/shop/xe-dap-nhat-thai-lan,shop_url
139,https://www.sendo.vn/shop/khong-gian-computer,shop_url
140,https://www.sendo.vn/shop/thu-loi-shop,shop_url
141,https://www.sendo.vn/shop/be-khoe-mexinh,shop_url
142,https://www.sendo.vn/shop/new-feshion-shop,shop_url
143,https://www.sendo.vn/shop/piano-lovers,shop_url
